,FieldID,Model,Metric,Yield
0,NB1,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.3125208649353906
1,NB1,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,11.022367581336422
2,NB1,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,15.281141664518005
3,NC1,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,4.869756946392815
4,NC1,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,28.055633967083253
5,NC1,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,28.055633967083253
6,NC2,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,6.2666372181633765
7,NC2,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,33.82312697750754
8,NC2,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,33.82312697750754
9,NW1,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.71564951608984
10,NW1,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-18.954171337442148
11,NW1,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,24.43889894097271
12,NW2,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,1.3546128541536753
13,NW2,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-0.8461411818327702
14,NW2,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,8.784582733608183
15,NW3,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,3.0085969060351014
16,NW3,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,-0.5686499227294104
17,NW3,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,17.2505062511954
18,NW4,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.6862301411334455
19,NW4,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,9.531983417749661
20,NW4,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,16.325412663206897
21,NW5,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,6.07835658954333
22,NW5,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,15.378606594556313
23,NW5,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,35.471297775626915
24,NW6,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,2.5926125231662596
25,NW6,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,16.966978907395706
26,NW6,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,16.966978907395706
27,NW7,AquaCrop-OSPy NSGA-II Yield Optimized,RMSE,3.8010023517729783
28,NW7,AquaCrop-OSPy NSGA-II Yield Optimized,PBIAS,11.74700351307296
29,NW7,AquaCrop-OSPy NSGA-II Yield Optimized,NMAE,25.159798912905238
