,FieldID,Model,Metric,Irrigation
68,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,10.537049626104691
69,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,33.96495490943573
70,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,2.900275603687674
71,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,8.43914780922656
72,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,41.360000000000014
73,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,-14.03746945424926
74,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,14.03746945424926
75,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,45.56171833897402
76,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,6.652954769324175
77,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,6.652954769324175
78,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE,40.874000000000024
79,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS,10.510859558623107
80,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE,10.510859558623107
