,FieldID,Model,Metric,Yield
0,NB1,XGBoost Leave-One-Field-Out,RMSE,0.604406656368698
1,NB1,XGBoost Leave-One-Field-Out,PBIAS,-0.9826837718459364
2,NB1,XGBoost Leave-One-Field-Out,NMAE,4.362230702106324
3,NC1,XGBoost Leave-One-Field-Out,RMSE,0.4652627906777785
4,NC1,XGBoost Leave-One-Field-Out,PBIAS,0.5930156261217695
5,NC1,XGBoost Leave-One-Field-Out,NMAE,2.2503952699242027
6,NC2,XGBoost Leave-One-Field-Out,RMSE,0.6726783043892192
7,NC2,XGBoost Leave-One-Field-Out,PBIAS,-1.468531732532534
8,NC2,XGBoost Leave-One-Field-Out,NMAE,3.6543294978287335
9,NW1,XGBoost Leave-One-Field-Out,RMSE,1.137303868466167
10,NW1,XGBoost Leave-One-Field-Out,PBIAS,2.5385556795313713
11,NW1,XGBoost Leave-One-Field-Out,NMAE,8.525336564625409
12,NW2,XGBoost Leave-One-Field-Out,RMSE,0.994173528153112
13,NW2,XGBoost Leave-One-Field-Out,PBIAS,-0.4235300364999418
14,NW2,XGBoost Leave-One-Field-Out,NMAE,5.761524076253148
15,NW3,XGBoost Leave-One-Field-Out,RMSE,0.8486272285569668
16,NW3,XGBoost Leave-One-Field-Out,PBIAS,1.8032928537703745
17,NW3,XGBoost Leave-One-Field-Out,NMAE,4.83170017482498
18,NW4,XGBoost Leave-One-Field-Out,RMSE,0.6877817679798819
19,NW4,XGBoost Leave-One-Field-Out,PBIAS,-0.5525678892230028
20,NW4,XGBoost Leave-One-Field-Out,NMAE,4.190516962726113
21,NW5,XGBoost Leave-One-Field-Out,RMSE,0.9633209172093096
22,NW5,XGBoost Leave-One-Field-Out,PBIAS,-0.3018062837481968
23,NW5,XGBoost Leave-One-Field-Out,NMAE,5.88529793457964
24,NW6,XGBoost Leave-One-Field-Out,RMSE,0.6133447594410913
25,NW6,XGBoost Leave-One-Field-Out,PBIAS,-0.8267262151647926
26,NW6,XGBoost Leave-One-Field-Out,NMAE,2.976099336338822
27,NW7,XGBoost Leave-One-Field-Out,RMSE,1.3694684990679782
28,NW7,XGBoost Leave-One-Field-Out,PBIAS,-1.8241575749745442
29,NW7,XGBoost Leave-One-Field-Out,NMAE,6.017702587958319
