,Reported_Yield,Year,FieldID,MinTemp_mean,MaxTemp_mean,GDD,NDVI,NDVI_Aug,ET_sum,vpd,Precip_sum,ReferenceET_sum,Tmp_excede33,Percent_Slope,Precip_deficit
0,12.42867013,2016,NB1,6.106787744186131,22.029015010368614,1644.8900207365,0.6518586603745692,0.6035311232982394,676.1705872223182,1.7812693739477656,544.150001584,1139.259996319,33,5.472,132.02058563831815
1,10.18450195,2017,NB1,5.82271061752381,21.877106495117214,1614.2549728875001,0.6606283599640839,0.8239973204516676,648.0515498536253,1.9516517630953125,535.800000878,1148.359996577,33,5.472,112.25154897562527
2,13.10118082,2018,NB1,4.975202192809524,20.631098541029306,1644.1000091375,0.7148150057507028,0.856243645418396,696.440037885311,1.6206733736665746,443.960001972,1130.510002444,29,5.472,252.48003591331099
3,8.171677439,2020,NB1,5.105657825452555,21.79492683110949,1624.754994202,0.5879865635875038,0.7596752313369477,656.890253142759,1.925848318388782,331.310000354,1218.569995704,43,5.472,325.58025278875897
4,10.24771795,2021,NB1,5.365970949483517,21.024176271212454,1718.8700713705,0.6604274554649803,0.7698544503983196,630.0492078525918,1.791751960509429,438.000000886,1166.679999419,43,5.472,192.04920696659184
5,8.145449522,2022,NB1,4.663406645989011,22.585603751476192,1706.2099639785,0.6223590289373496,0.8077520477803025,673.0231272602035,2.2507775884193952,247.429999172,1302.510000616,59,5.472,425.5931280882035
6,17.357501,2021,NC1,7.8868214947216115,20.670927505578753,1850.959802558,0.772652716849128,0.8640660614763589,746.5224215431336,1.4890163936575904,512.591302703,1054.256523983,26,2.899,233.93111884013365
7,15.97616404,2022,NC1,7.234837982538461,21.640667635564103,1823.5108359185,0.7747682686269114,0.8668973141771428,829.937171351608,1.551311461163349,567.795660688,1137.621739762,38,2.899,262.14151066360796
8,18.52766961,2021,NC2,7.920596400772894,20.68476561203663,1851.952304347,0.7773652828963388,0.8671184616530853,819.2602109153336,1.488316452661891,511.05454183300003,1059.82727472,26,2.606,308.20566908233354
9,14.18661308,2022,NC2,7.247269036446887,21.69062634365934,1823.15225356,0.6731305934667494,0.8560706520595095,792.8756047824971,1.5663601726497267,583.227271347,1142.936362848,38,2.606,209.64833343549708
10,7.686124718,2016,NW1,6.085766222784672,22.3270076780073,1638.2499908355,0.6521439156690847,0.8080602088204504,667.8512825467371,1.8085245895581168,585.49999997,1157.400002061,34,4.866,82.35128257673716
11,8.164279822,2017,NW1,5.893223118923077,22.117764472285714,1610.249987798,0.6543093143207586,0.8140391055453375,627.1860006762962,1.8845901591855971,652.299995925,1156.499998931,33,4.866,-25.11399524870376
12,14.07497631,2019,NW1,4.914468607421246,19.945605759494505,1667.22497557,0.6246116592331618,0.8391096755769878,671.172068982175,1.6159016372727566,580.099999195,1068.599999543,26,4.866,91.072069787175
13,12.44413788,2020,NW1,5.220438290518248,22.195620259660583,1621.6500640835,0.6722759354071478,0.8079903560748183,735.0908072073815,1.967213116708349,314.700001308,1246.000000899,48,4.866,420.3908058993815
14,11.60887959,2021,NW1,5.426190487520146,21.367215826652014,1712.324960335,0.604004777103385,0.8276513223370656,681.0947973527852,1.7524590160025926,392.199998056,1180.200000166,47,4.866,288.8947992967852
15,9.591347514,2022,NW1,4.762089086014652,22.87893714766667,1706.975057995,0.6419719775679699,0.8780913346195942,712.6872421622146,2.2896721333753867,270.199999306,1318.099999277,61,4.866,442.4872428562146
16,12.05878925,2016,NW2,6.159489118138686,22.33795558084307,1647.5750366355,0.7164712226447513,0.867618333431898,721.9084934232917,1.8085245895581168,610.39999777,1155.000000775,33,4.102,111.50849565329167
17,9.406407073,2017,NW2,5.957692061732601,22.106776243835164,1614.450030516,0.6863911948509551,0.8377723198946315,637.8811217498317,1.8845901591855971,642.899997903,1152.299996083,32,4.102,-5.018876153168321
18,13.7851242,2018,NW2,5.195787131985347,21.400182971377287,1652.0500335525,0.7506174917475245,0.8797358377589338,755.7711550043203,1.6845901549839584,511.000003041,1166.00000029,33,4.102,244.77115196332034
19,13.91357374,2019,NW2,5.000182703172161,19.996886580809523,1676.575027469,0.6156293486000809,0.7962697124052196,645.8656553578129,1.6159016372727566,564.9999979199999,1070.300000996,27,4.102,80.86565743781296
20,11.6593179,2020,NW2,5.26861206939051,22.189050738434307,1623.149896211,0.6205529294143389,0.7945712203789433,711.6499899625558,1.967213116708349,317.300000065,1240.700002137,47,4.102,394.34998989755576
21,13.50266971,2021,NW2,5.459890109871795,21.38662947764469,1718.0000884905,0.640774934293193,0.843348326971356,693.8771504132807,1.7524590160025926,409.300000567,1179.299999472,47,4.102,284.5771498462807
22,10.08833292,2022,NW2,4.765750412622711,22.906409674992673,1708.6498962135,0.6634840044322294,0.8697223740089274,762.2367789405693,2.2896721333753867,276.699999725,1314.300004085,61,4.102,485.53677921556925
23,12.29618552,2016,NW3,6.170316249733577,22.354622262051095,1648.391666664,0.6988890404631883,0.8661280931461508,762.7308228041926,1.8085245895581168,599.866663688,1154.600000995,33,3.796,162.86415911619258
24,12.44750043,2017,NW3,5.964407512739927,22.11520140542857,1615.3333516475,0.709181081233693,0.8529023439868281,674.7342112282297,1.8845901591855971,643.633332857,1151.666662479,32,3.796,31.10087837122967
25,14.16912781,2018,NW3,5.197252497710623,21.39713043092674,1652.4333597675,0.7211460569465812,0.8528823063404283,753.9364793977892,1.6845901549839584,512.96666812,1164.799999632,32,3.796,240.96981127778918
