,Unnamed: 0,FieldID,Model,Metric,Irrigation
52,52.0,WC22,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-5.761194029850746
53,53.0,WC22,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),5.7611940298507465
54,54.0,WC23,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),0.0
55,55.0,WC23,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),0.0
56,56.0,WC23,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),0.0
57,57.0,WC24,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),172.688
58,58.0,WC24,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),40.6623215160306
59,59.0,WC24,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),40.6623215160306
60,60.0,WC25,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),5.684341886080803e-14
61,61.0,WC25,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),1.7677171219666383e-14
62,62.0,WC25,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),1.7677171219666383e-14
63,63.0,WC3,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),0.0
64,64.0,WC3,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),0.0
65,65.0,WC3,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),0.0
66,66.0,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),39.370000000000005
67,67.0,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-10.537049626104691
68,68.0,WC4,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),10.537049626104691
69,69.0,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),33.96495490943573
70,70.0,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),2.900275603687674
71,71.0,WC5,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),8.43914780922656
72,72.0,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),41.360000000000014
73,73.0,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),-14.03746945424926
74,74.0,WC6,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),14.03746945424926
75,75.0,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),45.56171833897402
76,76.0,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),6.652954769324175
77,77.0,WC8,AquaCrop-OSPy NSGA-II Irrigation Optimized,NMAE (%),6.652954769324175
78,78.0,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,RMSE (mm),40.87400000000002
79,79.0,WC9,AquaCrop-OSPy NSGA-II Irrigation Optimized,PBIAS (%),10.510859558623109
