,Unnamed: 0,Year,Model,Metric,Yield
26,26.0,2016,XGBoost Full,NMAE (%),5.7534306603272345
27,27.0,2017,XGBoost Full,RMSE (t/ha),0.5810920218532661
28,28.0,2017,XGBoost Full,PBIAS (%),1.2112918926223033
29,29.0,2017,XGBoost Full,NMAE (%),4.201954870273766
30,30.0,2018,XGBoost Full,RMSE (t/ha),0.4199460092185011
31,31.0,2018,XGBoost Full,PBIAS (%),-0.1155689159437824
32,32.0,2018,XGBoost Full,NMAE (%),2.4386745502811085
33,33.0,2019,XGBoost Full,RMSE (t/ha),0.91194570678815
34,34.0,2019,XGBoost Full,PBIAS (%),-0.2659701479250434
35,35.0,2019,XGBoost Full,NMAE (%),6.648712294808307
36,36.0,2020,XGBoost Full,RMSE (t/ha),1.159330109263765
37,37.0,2020,XGBoost Full,PBIAS (%),0.8716221351650811
38,38.0,2020,XGBoost Full,NMAE (%),10.136890835897406
39,39.0,2021,XGBoost Full,RMSE (t/ha),0.599231175969577
40,40.0,2021,XGBoost Full,PBIAS (%),2.91446655193505
41,41.0,2021,XGBoost Full,NMAE (%),3.0712996558707206
42,42.0,2022,XGBoost Full,RMSE (t/ha),0.5904911154337548
43,43.0,2022,XGBoost Full,PBIAS (%),-1.654728769124087
44,44.0,2022,XGBoost Full,NMAE (%),4.386298710044887
0,,2008,XGBoost Leave-One-Year-Out,RMSE (t/ha),2.1158867929293166
1,,2008,XGBoost Leave-One-Year-Out,PBIAS (%),11.225427023656405
2,,2008,XGBoost Leave-One-Year-Out,NMAE (%),15.989570471817967
3,,2009,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.470985617599844
4,,2009,XGBoost Leave-One-Year-Out,PBIAS (%),7.1602840068432805
5,,2009,XGBoost Leave-One-Year-Out,NMAE (%),11.839328681383545
6,,2010,XGBoost Leave-One-Year-Out,RMSE (t/ha),0.8390120228275355
7,,2010,XGBoost Leave-One-Year-Out,PBIAS (%),-3.9602518631387227
8,,2010,XGBoost Leave-One-Year-Out,NMAE (%),6.539996682563919
9,,2011,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.046133484594941
10,,2011,XGBoost Leave-One-Year-Out,PBIAS (%),9.065640348101827
11,,2011,XGBoost Leave-One-Year-Out,NMAE (%),9.065640348101825
12,,2012,XGBoost Leave-One-Year-Out,RMSE (t/ha),0.8238870603286639
13,,2012,XGBoost Leave-One-Year-Out,PBIAS (%),-5.948643603620851
14,,2012,XGBoost Leave-One-Year-Out,NMAE (%),8.783969580402808
15,,2013,XGBoost Leave-One-Year-Out,RMSE (t/ha),2.083560284468248
16,,2013,XGBoost Leave-One-Year-Out,PBIAS (%),-14.743511042482147
17,,2013,XGBoost Leave-One-Year-Out,NMAE (%),15.10620609294346
18,,2014,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.6031368441760805
19,,2014,XGBoost Leave-One-Year-Out,PBIAS (%),-10.497626868215704
20,,2014,XGBoost Leave-One-Year-Out,NMAE (%),10.497626868215704
21,,2015,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.2049361293760068
22,,2015,XGBoost Leave-One-Year-Out,PBIAS (%),-5.620504109378475
23,,2015,XGBoost Leave-One-Year-Out,NMAE (%),7.733224333464073
24,,2016,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.4412684756106728
25,,2016,XGBoost Leave-One-Year-Out,PBIAS (%),-3.800897527314389
26,,2016,XGBoost Leave-One-Year-Out,NMAE (%),10.577480088050445
27,,2017,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.4717284309113388
28,,2017,XGBoost Leave-One-Year-Out,PBIAS (%),3.3913584752734898
29,,2017,XGBoost Leave-One-Year-Out,NMAE (%),12.062333534421283
30,,2018,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.0974787504304544
31,,2018,XGBoost Leave-One-Year-Out,PBIAS (%),4.593428067420812
32,,2018,XGBoost Leave-One-Year-Out,NMAE (%),6.741882650355268
33,,2019,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.7841136742619004
34,,2019,XGBoost Leave-One-Year-Out,PBIAS (%),6.853878454149077
35,,2019,XGBoost Leave-One-Year-Out,NMAE (%),12.779784533732487
36,,2020,XGBoost Leave-One-Year-Out,RMSE (t/ha),2.4918489346238224
37,,2020,XGBoost Leave-One-Year-Out,PBIAS (%),9.65623822384413
38,,2020,XGBoost Leave-One-Year-Out,NMAE (%),23.274352583702772
39,,2021,XGBoost Leave-One-Year-Out,RMSE (t/ha),3.0682333638434622
40,,2021,XGBoost Leave-One-Year-Out,PBIAS (%),16.34973146721062
41,,2021,XGBoost Leave-One-Year-Out,NMAE (%),16.34973146721062
42,,2022,XGBoost Leave-One-Year-Out,RMSE (t/ha),1.9393237945277784
43,,2022,XGBoost Leave-One-Year-Out,PBIAS (%),-10.221532538338016
44,,2022,XGBoost Leave-One-Year-Out,NMAE (%),15.510234279640013
